singer,name,lyrics,moodCat
艾怡良,偏愛,"['feat. 9m88 & BCW', '撇開是非\u3000我犯了一個罪', '我不是不在乎', '愛一律千篇\u3000單身也單得沒重點', '誰知道剎那間\u3000他也是剛好\u3000主動了點', 'You got me\u3000就讓我們都', '繼續地\u3000Feel the vibe', '夜晚就接著辣', '野就不斷地撒', 'Yeah', 'Let me try\u3000把清醒當作shot', 'Your body never lie', ""繼續吧\u3000Don't yell at me"", ""You Don't"", '我想要\u3000Taste of this love\u3000來一點', '我想要\u3000Taste of this love\u3000慢一點', '別亂講\u3000Taste of this love', '別浪費\u3000Taste of this love', '我想要\u3000Taste of this love\u3000又一遍', '不數落誰\u3000玩味在這樣的夜', '帶點苦味\u3000在舌尖上濃烈', '心不在焉', '多想進入\u3000你的視線', '再待一會\u3000可以忘記明天', ""Don't wake me up"", '這關係讓人忐忑', '誰也不能先對誰坦承', '跟你的夜', '看是誰被蒸發', '誰是早晨的甘露', '誰在號碼的房間頻繁出入不留下', ""Hold up What's up"", 'So true劇本早就輸入我們註定輸', 'Adi?s 沒能來得及說\u3000這遊戲跟著沒結果', 'Taste of this love\u3000享受這一刻', 'You got me\u3000就讓我們都', '繼續地\u3000Feel the vibe', '夜晚就接著辣', '野也就不斷地撒', 'Yeah', 'Let me try\u3000把清醒當作\u3000shot', 'Your body never lie', ""繼續吧\u3000Don't yell at me"", ""You Don't"", '我想要\u3000Taste of this love\u3000來一點', '我想要\u3000Taste of this love\u3000慢一點', '別亂講\u3000Taste of this love', '別浪費\u3000Taste of this love', '我想要\u3000Taste of this love\u3000又一遍', '多少人讚嘆活得\u3000自在', '想的和做的\u3000卻逃不過暗自傷感', '女孩的垂憐\u3000反撲的邊緣', '當愛不走偏\u3000也懶得抱怨', 'Oh Love', '我想要\u3000Taste of this love\u3000來一點', '我想要\u3000Taste of this love\u3000慢一點', '別亂講\u3000Taste of this love', '別浪費\u3000Taste of this love', '我想要\u3000Taste of this love\u3000又一遍']",怒
艾怡良,先過完今天吧,"['說了個笑話\u3000滾了一身沙', '還是都沒長大\u3000心快裝不下', '不需要變化\u3000生活自會變化', '學會習慣開朗', '好像不太一樣\u3000好像不太正常', '多浪漫\u3000又哀傷', '一顆心能多寬廣\u3000端看妳怎麼想', '如果來不及流浪\u3000就別太在乎熱量', '所以我才帶妳來\u3000我最愛的湛藍', '在這裡可以盡情地廢到心慌', '妳的不奔放其實正在奔放', 'I got it, I got it, I got it, I got it, I got it', '日子很可怕\u3000但是清醒更可怕', '我的鑰匙在哪\u3000我的經紀人在哪', '這個夏天不平常\u3000情歌不能解決所有的問題', '中板這時派上用場\u3000剛好說一些道理', '其實沒什麼大道理\u3000要會爬\u3000先得飛', '一顆心能多寬廣\u3000端看妳怎麼想', '如果來不及釋放\u3000就別太在乎悲傷', '所以我才帶妳來\u3000我最愛的湛藍', '在這裡可以盡情地廢到心慌', '妳的不奔放其實正在奔放', 'I got it, I got it, I got it, I got it, I got it', '明天妳又在哪\u3000不知道', '後天妳又在哪\u3000不知道', '先過完今天吧\u3000不知道', '明天妳又在哪\u3000不知道', '後天妳又在哪\u3000不知道', '先過完今天吧\u3000不知道', 'I got it, I got it, I got it, I got it', '在這裡可以盡情地廢到心慌', '妳的不奔放其實正在奔放', 'I got it, I got it, I got it, I got it, I got it']",哀
艾怡良,痛感,"['feat. 李玖哲', '空蕩的感覺\u3000沒有過的從前', '記得\u3000不記得\u3000她走了後\u3000都算了', '我們的交談\u3000每句都是空談', '妳笑說\u3000這樣對了\u3000妳覺得我們該愛', '不該想那麼多未來\u3000也不該這樣就攤牌', '妳知道我的\u3000每一處痛感', '還逼我馬上就推翻\u3000一個人的愛\u3000她怎麼交換', ""Gon' tell me something 'bout you that I should know"", ""Gon' tell me something 'bout you that I don't know"", ""I don't know"", '你要的是愛的感覺\u3000還是被愛', 'About you 我怎樣都不該去貪\u3000你對她的愛', ""You don't give a f"", ""You don't give a f 'bout me"", '幻想在一個夜晚\u3000回憶什麼狗屁都重來', '你的話題倒轉一直在岔開\u3000而她始終都沒離開', 'But I love you boy', ""You know I don't think I'll ever see anybody at night"", '別聽他們怎麼說', '我不要再有遺憾', 'I wanna be real to this I wanna be real to you', '告訴我到底有什麼不該', ""Gon' tell me something 'bout you that I should know"", ""Gon' tell me something 'bout you that I don't know"", ""I don't know"", '你要的是愛的感覺\u3000還是被愛', 'About you 我怎樣都不該去貪\u3000你對她的愛', 'About you, about me, about you', 'About you, about me, about you', 'About you, about me, about you', 'Tell me something that I should know', 'That I should know about', 'I guess this is on you', 'I guess this is on me', '我什麼都清楚\u3000我什麼都讓出', '我還不能愛\u3000我不配去愛', ""Why don't you tell me something I don't know"", 'I guess this is on you', 'I guess this is on me', '我什麼都清楚\u3000我什麼都讓出', '我還不能愛\u3000我不配去愛', ""Why don't you tell me something I don't know"", ""Why don't you tell me"", '你要的是愛的感覺\u3000還是被愛', 'About you 我怎樣都不該去貪\u3000你對她的愛', 'About you, about me, about you', 'About you, about me, about you', 'About you, about me, about you', 'About you, about me, about you', 'About you, about me, about you', 'Tell me something that I should know', 'That I should know about']",恨
艾怡良,早晚,"['時針在手腕盤旋', '人們不醉不歸', '這是最好的時間\u3000讓你飛', '我的心有一個鬼', '出沒我的狼狽', '他說\u3000狂歡的人\u3000不怕天黑', '她的妝那麼美', '你形容得像黃昏的漸變', '我能夠體會', '你一如地晚歸', '會不會這樣才美', '會不會只有我很懷念', '又過了一個年', '又多了點疲倦', '說白的感傷\u3000很淺', '到最後我才告解', '後悔都知道一些', '又過了一個年', '又少了點狂野', '我還在這裡\u3000不前', '你裝扮得很完美', '很簡約地告別', '也許我早就知道\u3000你會晚歸', '其實是我的不對', '你的夢\u3000多新鮮', '就當這城市吞了\u3000你的一切', '她的妝那麼美', '你形容得像黃昏的漸變', '我能夠體會', '你一如地晚歸', '會不會這樣才美', '會不會只有我很懷念', '又過了一個年', '又多了點疲倦', '說白的感傷\u3000很淺', '到最後我才告解', '後悔都知道一些', '又過了一個年', '又少了點狂野', '我還在這裡\u3000不前', '不前']",哀
艾怡良,我這個人,"['電影 我沒有談的那場戀愛 宣傳主題曲', '你懂我不說的 都是最重要的', '那些經歷過的 都很值得', '不再喧鬧或者 是真的長大了', '不瞞你說 我想你了', '都轉身了之後 我還在 倔強什麼呢', '能讓你說 我的執著 都是迷人的', '我是否還值得 被愛一次呢', '多難過我都不准 再對誰提起了', '你說我這個人呀 也不那麼遲鈍', '會無視這世界 對我那麼寬容', '但我都不要了 不要再浪費了', '多成熟我都不能 假裝我很快樂', '你說我這個人 怎麼聽不進去呢', '只是寂寞慣了', '兩個人的旅程 該獨自完成了', '寂寞是我和你 慢慢告別的', '哭到累了或者 想要你的開朗', '我的笑容 是想起你了', '然後沒了之後 在那裡 過得還好嗎', '想要你說 那些時刻 你都沒忘了', '我是否還值得 被愛一次呢', '多難過我都不准 再對誰提起了', '你說我這個人呀 也不那麼遲鈍', '會無視這世界 對我那麼寬容', '但我都不要了 不要再浪費了', '多成熟我都不能 假裝我很快樂', '你說我這個人 怎麼聽不進去呢', '只是寂寞慣了']",愛
汪蘇瀧,在驚濤駭浪裡,"['大型紀錄片 紫禁城 主題歌', '從陸地到海洋越過的距離', '從過去到未來見過的風雨', '生命在四季後又重回大地', '蒼穹之上變幻莫測的天氣', '可是若嚮往雲和月的天際', '像飛鳥翅膀應該在風裡', '穿行在驚濤駭浪裡', '才誕生勇氣', '落在故事最後一頁的結局', '也比不過一次終生難忘的旅行', '跌宕起伏才裝得下精彩劇情', '留下獨一無二的傳奇  一個傳奇', '總有人在百年中留下痕跡', '像九龍壁刻下的奔騰不息', '像是天馬昂首傲視的屋脊', '留下永恆的故事等待延續', '驕傲地嚮往雲和月的天際', '像飛鳥翅膀應該在風裡', '穿行在驚濤駭浪裡', '才誕生勇氣', '落在故事最後一頁的結局', '也比不過一次終生難忘的旅行', '跌宕起伏才裝得下精彩劇情', '留下獨一無二的傳奇  一個傳奇', '落在故事最後一頁的結局', '也比不過一次終生難忘的旅行', '跌宕起伏才裝得下精彩劇情', '留下獨一無二的傳奇  一個傳奇']",哀
李幸倪,IDK,"['我知 我知 腦裡空間我有 太多', '所以 我會張開對耳 我聽 我聽', '運用謙卑抵抗 爭議 非議', '研究理想主義', '哲理與哲理 往往會敵視', ""甚麼都會得知 用'所知'笑'不知'  (連不知你都知)"", '高深的專家不想考第二', '自稱一派宗師 怕反思', '誰敢講「我知道」人越天天深造 才越多「不知道」', '生命怎麼的構造 世人這麼深奧', ""I Don't Know I Don't Know"", ""I Don't Know I Don't Know"", '你知得多所以懶知 我知不多所以要知', '愛恩斯坦都會置疑 每本天書需要看三次', '有所不知請教老師 有所不知請教你多次', '放低偏執得到友誼 腦袋空空自然能入耳', '太富有智慧太快有定義', '白紙不過張紙 白紙不會偏倚  (才寫出教科書)', '知得多終於得知一件事 學識講我不知 我不知', '誰敢講「我知道」人越天天深造 才越多「不知道」', '生命怎麼的構造 世人這麼深奧', ""I Don't Know I Don't Know"", ""I Don't Know I Don't Know"", '人類天天的比武 著上知識的戰袍', '明白很多 發現這一派會狂躁  那一派會投訴', '太激進鑽入了墳墓 誰懂得再擁抱', '全部都不知道 太深奧 要深造', '再深造 更深奧 凡事都很燒腦', ""我知道 I Don't Know"", ""我知道 I Don't Know"", 'Harvard 都不可教導', ""我知道 I Don't Know 我知道 I Don't Know""]",哀
偏執狂,O'rip 人生,"[""O'rip 人生"", ""'Caka sa'nar ko lalan no orip."", 'Nikawrira,', ""tahada'ocen ko pisolinga' to harakat."", '主B:', ""Ma ha 'en nay ko 'orip no tam daw"", ""Ke ni' han ko ma ta ma ce ngaw to i,"", ""laheci sanay to ko cecay a romi'ad."", ""Keni' han ko mata caay kacengaw i,"", ""laheci sanay to ko da'oc no 'orip."", ""Mato sacilemed sanay ko 'orip,"", 'tahalifa to kalodemak i,', ""aka ka i faloco' han."", 'A:', ""Ta li nga foh sa ko pinang an no 'orip."", ""hay yan na nay ko 'orip"", 'a ka sa wa den ko ti reng.', ""Ma to sa ci le med ha sa nanay ko 'orip,"", ""hay yan na nay ko 'orip"", 'a ka sa wa den ko ti reng', 'Talacowa', 'Manikawnikaw ko', ""or'ip. Sa ki'melen ko"", ""faloco'.nawhan i or'ip"", 'ita.adihay ko safalat.', ""Matapi'ita 。ta ira'"", ""Ko fangcalay a or'ip"", '主A', '古謠', '人生不會一帆風順', '但必須奮鬥向前', '主B', '人生就是這樣', '一眨眼，就過了一日', '閉上眼，就結束一輩子', '人生如夢，', '凡事又何必計較。', '人生匆匆一場', '人生也就這樣', '千萬不要懈怠自己', '人生如一場夢', '人生也就如此', '千萬不要懈怠自己', '(口白)', '雖然 生活過得艱苦', '心中也要保持堅強', '因? 在生命的歷程中', '我們總會面對很多', '艱難險阻', '當我們戰勝了', '才能有美好的生活']",怒
偏執狂,情人袋,"['夏天好熱情 稻穗像黃金', '祖先留下的 重要節慶', '在圍圈圈的人群裡', '看著你身影多美麗', '牽著你的手 歌唱著旋律', '所有的視線 充滿著你', '你的眼睛你的氣息', '多希望時間可以暫停', '嗨央 唱拿手的歌 不用害羞', '大家拍手跟著打著節奏', '拿出你 最好的歌喉', '嗨央 你在前面 我有點害羞', '又沒關係反正有你', '大家也聽的 非常的開心', 'Ho hai yan ∼∼∼ (虛詞)']",喜
偏執狂,Pacafay  陪伴,"['提起了勇氣 尋找未知的夢想 一路跌跌撞撞 找不到方向', ""Kilemel ko faloco'. mikilim to nafalocoan."", 'Sawarawara sawiliwili sanay ko rakat.', '是否就這樣打住 這樣衝動冒險的想法 在人生的路途上 還沒有學會害怕橫亙的阻攔', ""Ona patedoay aharateng Patoko sato saw?caay kafana' ama talaw to safalat ipakayraan no 'orip."", '我站在哪裡 就連自己都快看不清 像個流浪的孩子 避風港在哪裡', ""Masiwala' kako."", 'icowaay ka tomirengan.', 'icowa mikiading.', 'lecad sa omirarakatay awawa.', '但在 最危險的路上 我們總是懷抱著希望 哪個路口 哪個巷弄 你會找到我', 'Nikawrira', 'ikatalawan alalan.', 'iraay ko kafalocoan ita.', 'icowa to aciko no lalan. makilim iso', 'kako.', ""ikatalawan alalan To'aya' an kakayaran."", 'Nawhan iraay kiso pacafay itakowanan.', '仰望 著絢爛星空 總有顆星指引我 不再失落 不再困惑 因為有你陪伴著我', 'icowa to aciko no lalan. makilim iso', 'kako.', 'Nawhan iraay kiso pacafay itakowanan.']",喜
新聲主義,得過且過,"['安靜的待在昏暗角落', '別讓悲傷滲透刺破', '回憶像猛獸步步緊索', '我小心翼翼的閃躲', '你喋喋不休的說', '最後我凝視你背影輪廓', '暗幸殘存的結果', '可爭吵的解藥絕非沉默', '我用力維繫愛情的得過且過', '放任我們的導火索', '當無常的日常毀了所有成果', '才痛到從夢裡掙脫', '別再去維繫愛情的得過且過', '撕掉那不堪的懦弱', '別用沉默回應她在意的疑惑', '才痛到清醒後執著', '安靜的待在昏暗角落', '別讓悲傷滲透刺破', '回憶像猛獸步步緊索', '我小心翼翼的閃躲', '你喋喋不休的說', '最後我凝視你背影輪廓', '暗幸殘存的結果', '可爭吵的解藥絕非沉默', '我用力維繫愛情的得過且過', '放任我們的導火索', '當無常的日常毀了所有成果', '才痛到從夢裡掙脫', '別再去維繫愛情的得過且過', '撕掉那不堪的懦弱', '別用沉默回應她在意的疑惑', '才痛到清醒後執著', '我用力維繫愛情的得過且過', '放任我們的導火索', '當無常的日常毀了所有成果', '才痛到從夢裡掙脫', '別再去維繫愛情的得過且過', '撕掉那不堪的懦弱', '別用沉默回應她在意的疑惑', '才痛到清醒後執著']",哀
張伍,隔壁,"['工作親人月亮和太陽 都像我的過客', '在難纏的 匆忙的 渾噩的五天 每天眼皮非常沈重', '一放假 我什麼都不知道  家裡的垃圾也不想管', '隔壁住了誰 我不知道  好幾天都沒碰到也見怪不怪', '印象 他是一個人 一個人待在這個像等不到人回來的港口鬱鬱寡歡', '但這其實跟我無關 也許硬要打招呼 大家也會感覺被冒犯', '找不到生活的可愛之處', '最怕手機關機的黑暗', '看著電視上播送套房自殺的新聞', '想起附近的臭味有點誇張', '聽 到底有誰會發現我現在在這裡', '已經過好幾天', '看 牆壁那面的鄰居沒人在意誰是誰', '已經有好幾年', '聽到撞牆的聲音 一陣一陣', '都在起風的這個時候', '已經習慣日常上陌生', '就像隔著一條一條的裂縫', '隨著日曆撕下 也忘記加班多久', '在清晨在半夜 變得多夢 時常驚醒', '看到一道黑影站在門口', '不時的往我這裡看 到底找誰 我大聲的喊', '沒人回答', '平常上班已經很累  沒空跟你弄這些有的沒的', '又過了一陣子', '走廊莫名多了很多警察像個無頭蒼蠅不知道在找什麼', '看到有人從我家隔壁被擔出來', '已經過世了 難怪', '原來臭味就是從那裡散出來', '聽 到底有誰會發現我現在在這裡', '已經過好幾天', '看 牆壁那面的鄰居沒人在意誰是誰', '已經好幾年']",哀
孫燕姿,匿名萬歲,"['切換 幾種身分 自由發揮', '不用 舉手簽到 多方便', '藏在 影子裡面 那些聖賢', '說不對 就不對', '出征 不請自來 用他的論點', '甚至 還不清楚 你是誰', '雙眼 盯著瞬間 風往哪邊吹', '您哪位 我哪位', '無所謂 某天招誰惹誰', '看不見 越歡樂越 危險', '匿名萬歲', '遊山玩水', '關注眼淚簌簌 一面控訴 一面在追', '匿名萬歲', '換誰倒楣', '讓我戴上面具 真的假的 你相信誰', '他用 各種嘴臉 卻不長臉', '躲躲 藏藏又想 被看見', '彼此 來回消費 也算慈悲', '沒誤會 別誤會', '誓言 要讓天使 都低頭懺悔', '這裡 沒有姓名 沒尊嚴', '偶爾 我們也是 那其中一員', '最珍貴 最高貴', '無所謂 某天於心有愧', '看不見 越絕對越 危險', '匿名萬歲', '遊山玩水', '關注眼淚簌簌 一面控訴 一面在追', '匿名萬歲', '換誰倒楣', '讓我戴上面具 真的假的 你相信誰', '匿名萬歲', '見山是水', '關注眼淚簌簌 多麼孤獨 還不停追', '匿名萬歲', '該誰崩潰', '手指戴上面具 真的假的 誰在乎誰']",恨
王霏霏,Stalker窺探者,"['微醺的眼睛', '凝視黑色屋頂', '狂熱的訊息', '又是如何顛倒我夢境', '放心我不會找你', '任何人有它的權利', '但你販賣這種壞不應該', '還樂此不疲Oh', '永遠的女孩', '活在最好的時代', '世界的盾牌', '是多一點善待', '怎麼看穿心懷鬼胎', '怎麼證明清白無害', '無賴無奈', '否則誰想公然失態', '無聊的stalker Stalker Stalker', '我不是你的乖', 'Stalker Stalker', '完敗的stalker', '侵蝕五臟六腑惡病從口出', '我不食你的毒', 'Stalker Stalker', 'Stalker Stalker', '他們眼中的愛', '是非黑即白', '非要猜誰對誰到底存在多少好與壞', ""I don't care"", ""I don't care"", ""You're not in my life anymore"", 'Oh so oh so gone', 'Look 心的放任被現實受困', 'Look 新的腳本要抽乾靈魂', ""I don't care"", ""I don't care"", ""You're not in my life anymore"", 'Oh so oh so gone', 'Oh 永遠的女孩', '活在最好的時代', '世界的盾牌', '是多一點善待', '怎麼看穿心懷鬼胎', '怎麼證明清白無害', '無賴無奈', '否則誰想公然失態', '無聊的stalker Stalker stalker', '我不是你的乖', 'Stalker stalker', '完敗的stalker', '侵蝕五臟六腑惡病從口出', '我不食你的毒', '被生活軌跡貼上無數的標籤', '也不要輕易認領那些謊言', 'Stalker stalker', '窺探是一種病', '更是一種習性', '有種你就接受我的盛裝邀請', '別假裝透明', '無聊的stalker Stalker stalker', '我不是你的乖', 'Stalker stalker', '完敗的stalker', '侵蝕五臟六腑惡病從口出', '我不食你的毒', 'Stalker stalker', 'Stalker stalker']",恨
張梁,一碗頑固的湯,"['頑固的湯在盤中迴旋', '經歷了水的蛻變之仙', '百轉千回來到世間', '只為了溫暖你的腸胃', '匆匆流向的那道洪水', '你追我趕奔赴情場', '翻翻滾滾又添一把火', '爾虞我詐終究坦誠相見', '是不是我要接過你的一把勺', '才能喝下這滾燙的承諾', '然後再放一把煽情的料', '讓眼淚情不自禁掉下來', '深情相伴卻貌合神離', '不離不棄是油鹽柴米', '相互擁抱豈是血肉之軀', '手捧起碗方能感到甜蜜', '仇恨往往在一念之間', '自命不凡又遭人唾棄', '不鹹不淡恰山窮水盡', '萬語千言只差一步之遙', '是不是我要接過你的一把勺', '才能喝下這滾燙的承諾', '然後再放一把煽情的料', '讓眼淚情不自禁掉下來', '如今的我們共飲這碗湯', '山水曾少年蹉跎了平原', '那些所謂的堅強', '化成這口熱騰的湯', '如今的我們共飲這碗湯', '山水曾少年蹉跎了平原', '那些所謂的堅強', '化成這口熱騰的湯']",愛
芳棋,最後的歌,"['(這是我最後的歌   寫給愛過我的人', '相信雨過天晴後   會有美麗的天空)', '當你聽到了這首歌  有沒有認真地聽著', '當全世界都和平了 哦~ 而我卻還在掙扎著', '原來孤單一職直陪著我   想擺脫它卻越不走', '當天空不再晴朗了   哦 發現沒有人了解我', '這是我最後的歌   寫給愛過我的人', '相信雨過天晴後   會有美麗的天空', '這是我最後的歌 紀念夢想的交錯', '時間將轉變成為    泛黃的彩虹', '原來孤單一直陪著我   想擺脫它卻越不走', '當天空不再晴朗了   哦 發現沒有人了解我', '這是我最後的歌   寫給愛過我的人', '相信雨過天晴後   會有美麗的天空', '這是我最後的歌 紀念夢想的交錯', '時間將轉變成為    泛黃的彩虹', '這是我最後的歌   寫給愛過我的人', '相信雨過天晴後   會有美麗的天空', '這是我最後的歌 紀念夢想的交錯', '時間將轉變成為    泛黃的彩虹']",愛
Li-2c,沉溺,"['Li-2c & 傅夢彤', '就沉溺這片海里為它貢獻我的眼淚(眼淚)', '就像是珊瑚礁再美也稱不上是點綴', '魚群環繞我後背  在遊說 終究會 懂得享受這lonely ai yi a', '它不會給我句安慰 ha', '即使我一直做得對(做得對)我做得對', '可偏執的我總以為能潛入海底(潛入海底)', '它是道風景又怎麼會用心愛你(用心愛你)', '我拼了命(我拼了命)它依舊是波瀾不驚', '我拼了命(我拼了命)即使我自知痛不輕', ""I can't breathe x3 怎麼越過這道瓶頸"", ""I can't breathe x3 拖著直到喪失清醒"", 'You know what I mean', '崩潰浸溼我的心', '像是面對白鯨永遠沒有交匯的聲音', 'You know what I mean', '卻還假裝聽不清', '給我短暫的纏綿之後就消逝於流星', '可偏執的我總以為能潛入海(潛入海底)', '它是道風景又怎麼會用心愛你(用心愛你)', '抱歉我墜入海里的決心是那麼篤定', '在失去知覺之前 最後祈盼一句迴應', '魚群環繞我後背  不遊說 它們都 偷偷 看著我下墜', '魚群環繞我後背  不遊說 它們都 偷偷 看著我下墜', ""I can't breathe x3 怎麼越過這道瓶頸"", ""I can't breathe x3 拖著直到喪失清醒""]",哀
黃于恩,如果時間暫停,"['時針一如往常地繞一圈', '靜悄悄的房間卻難入眠', '想起那些日子你在身邊', '不知不覺卻越來越遠', '沿途上找到自己', '也丟了曾經以為不能停的旅行', '是不是忘記了', '一路的風景因為你才更加美麗', '如果時間能夠暫停在這裡', '讓我把你的笑容印在心底', '多想能帶著你回到過去', '就能夠 再次遇見你', '如果時間能夠暫停在這裡', '我會把你的手握得更緊', '哪天我們都隨時間老去', '感謝一路上有你', '一直在這裡', '漸漸地我們有了些改變', '不想冷漠只是感到疲倦', '愛有時變成陌生的詞彙', '能否真切 在我們之間', '沿途上成就自己', '卻忘了聆聽', '內心最真實的聲音', '能不能再靠近', '刪掉這距離 因為你我用心珍惜']",哀
黃于恩,我不知道你知不知道我知不知道你,"['頻繁的過敏反應 卻毫無頭緒', '不自覺又想起你 喔什麼原因', '我看見大太陽就會打噴嚏', '2＋1個噴嚏從來不客氣', '好奇怪 好奇怪 偏偏對你免疫', '但是我對陽光過敏 沒道理', '過於耀眼的是你讓人在意', '我不知道你知不知道 我知不知道你', 'woo ah woo woo', 'I am a win win ni', 'hey boy', 'ah chu', 'I am a win win ni', 'hey boy', 'Ah chu', '那個人就是你', '先放鬆神經 張開耳朵聆聽', '隨時加入我的party', '距離不會是問題', '遇見你的機率 是多大的幸運', '我不太確定但肯定不容易', '想聽我說情話 我還要看情況', '那些很肉麻的話我不會講 太假拉', '好浮誇 算了吧 撒喲哪拉', '我看見大太陽就會打噴嚏', '2＋1個噴嚏從來不客氣', '好奇怪 好奇怪 偏偏對你免疫', '但是我對陽光過敏 (沒道理)', '過於耀眼的是你讓人在意', '我不知道你知不知道我知不知道你', 'woo ah woo woo', 'I am a win win ni', 'hey boy', 'ah chu', 'I am a win win ni', 'hey boy', 'Ah chu', '那個人就是你', '過於耀眼的是你讓人在意', '我不知道你知不知道我知不知道你', '我不知道你知不知道我知不知道你', '我不知道你知不知道我知不知道你', 'I am a win win ni', 'hey boy', 'ah chu', 'I am a win win ni', 'hey boy', 'Ah chu', '那個人就是你']",哀
黃于恩,Shining Star,"['就喜歡和你 在城市旅行', '沒事做也無所謂', '只要你在 的任何地方', '沙漠也變成草原', '一通電話 我們 說走就走', '看著路上的花也能笑瘋', '簡單旋律 搭配 胡言亂語', '在一起就沒煩惱', 'Because', ""You're like a shining star R R"", ""You're like a shining star"", '你就是夜裡的光 oh', 'You are my shining star', '當我失戀 妳都在身邊', '擦乾我的眼淚 陪我喝醉', '就算有人 無法 懂我的美', '只要有你在就好', 'Because', ""You're like a shining star R R"", ""You're like a shining star"", '我們一起等天亮 oh', 'You are my shining star', '沒有任何人比我更了解 心連心的滋味', '毫無保留的全都給你 說好要永遠一起', ""You're like a shining star"", ""You're like a shining star"", '你就是夜裡的光 oh', 'You are my shining star(You are my~ You are my~)', ""You're like a shining star(You're like a shining star)"", ""You're like a shining star(You're like a shining star)"", '我們一起等天亮 oh', 'You are my shining star', 'You are my shining star~']",愛
黃于恩,就這樣好嗎？,"['無盡思念在蔓延', '綑綁住我一整夜', '記得我們之間有個美好的從前', '只是愛淡了', '退回是朋友就這樣好嗎', '其實我猜到你的答案', '有你我願意能不能', '給愛情一次勇氣', '多久沒見你 擁抱你', '哼著孤單的旋律', '也等天明 我等著你', '每當夢裡你總出現擾亂我呼吸', '模糊了清晰', '好想你 我在想你', '退回是朋友 就這樣好嗎', '其實我猜到你的答案', '有你我願意能不能', '給愛情一次勇氣', '多久沒見你擁抱你', '哼著孤單的旋律', '也等天明 我等著你', '每當夢裡你總出現擾亂我呼吸', '模糊了清晰', '好想你 我在想你', '多久沒見你 擁抱你', '哼著孤單的旋律', '也等天明 我等著你', '每當夢裡你總出現擾亂我呼吸', '模糊了清晰', '好想你 我在想你']",愛
黃于恩,我,"['我 我還是我', '不是你想像中的我', '受了傷會沉默 忍不住眼淚流', '就是我', '我 我還是我', '無論過去多少錯過', '珍惜著此刻擁有 這就是我', '對我來說還是難', '劃不清中間地帶', '沒有答案的尋找方向', '不習慣把心事分享', '慢慢學會了釋懷 有些期待', '不讓自己理睬', '生活的色調變換 耀眼或灰白', '堅定依舊 我還是我', '就夠', '我 我還是我', '還是你愛上那個我', '累了不懂停留 卻耐心的守候 那個我', '我 我還是我', '無論過去多少錯過', '珍惜著此刻擁有這就是我', '這就是我 這就是我', '我 我還是我', '還是妳愛上那個我', '累了不懂停留 卻耐心的守候', '那個我', '我 我會是我', '無論未來多少如果', '勇敢把此刻緊握', '那 就是我']",哀
黃于恩,"Hold On, Don't Let Go!","['當你感到寂寞', '有時會不知所措', 'Oh 請相信自我', ""Hold on, don't let go"", '歡迎光臨這世界', '無論任何語言', '藏在心中的煩惱', '也許全都不起眼', '想要不顧一切', '抓住這份信念', '屬於我每個章節', '由心去指引方向', '回頭望 自己奮力的模樣', '讓徬徨的眼眶 向著遠方挑望', '就算微弱 夜中的燈火', '也能把黑暗劃破', '將你手心緊握', '綻放燦爛的花火', '淚水臉龐滑落', '點滴夢想的輪廓', '當你感到寂寞', '有時會不知所措', 'Oh 請相信自我', ""Hold on, don't let go"", '一路上跌跌撞撞的倔強', '放手一搏的瘋狂', '無法假裝的渴望給我力量', 'I see that in your eyes', ""we'll be shining bright"", '就答應我你從此以後', '將你手心緊握', '綻放燦爛的花火', '淚水臉龐滑落', '點滴夢想的輪廓', '當你感到寂寞', '有時會不知所措', 'Oh 請相信自我', ""Hold on, don't let go"", ""Go,don't let go"", '不要放手 相信我', ""Oh don't let go"", '不要放手 相信我']",哀
李?,星星和你,"['在沒有去過的地方', '一陣微風的清涼', '你說過 把晴天留給太陽', '我靜靜在你的肩膀', '看星星路過地球', '留下了 一片片美麗時空', '你靜靜的望著我', '時間不再漫長', '回蕩在耳邊的你說', '一定要堅持到底', '我想你時 看星星寥寥無幾', '我想你時 墜入到銀河夢裡', '我想你時 看天空飄著的雲層裡', '藏著我們的足跡', '我想你時 問天空星星和你', '我想你時 心動到無能為力', '我想你時 像雨後的彩虹掛在天空', '帶給我的驚喜', '你靜靜的望著我', '時間不再漫長', '回蕩在耳邊的你說', '一定要堅持到底', '我想你時 看星星寥寥無幾', '我想你時 墜入到銀河夢裡', '我想你時 看天空飄著的雲層裡', '藏著我們的足跡', '我想你時 問天空星星和你', '我想你時 心動到無能為力', '我想你時 像雨後的彩虹掛在天空', '帶給我的驚喜', '想你 想你', '摘下星星都給你', '想你 想你', '在浩瀚無垠的星河', '閃爍的都好像你', '我想你時 看星星寥寥無幾', '我想你時 墜入到銀河夢裡', '我想你時 看天空飄著的雲層裡', '藏著我們的足跡', '我想你時 問天空星星和你', '我想你時 心動到無能為力', '我想你時 像雨後的彩虹掛在天空', '帶給我的驚喜']",哀
